# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
0 200
186 9.275 0.727909 81.1719 0.40785 161.645 0.593107 172.555
187 9.325 0.748254 82.2109 0.544989 163.164 0.600801 174.227
188 9.375 0.723596 83.2266 0.797004 165.41 0.693015 176.176
189 9.425 0.649852 84.1484 0.99977 168.258 0.634839 177.98
190 9.475 0.474085 84.8281 1.29186 171.977 0.682543 179.941
191 9.525 0.355885 85.3438 1.51197 176.375 0.726521 182.051
192 9.575 0.202769 85.6406 1.61183 181.113 0.837448 184.508
193 9.625 0.158422 85.875 1.70953 186.191 1.00269 187.48
194 9.675 0.120205 86.0547 1.60341 191.004 1.04191 190.602
195 9.725 0.248289 86.4297 1.44656 195.391 1.07381 193.852
196 9.775 0.491511 87.1797 1.20103 199.07 1.19188 197.496
197 9.825 0.95277 88.6484 1.05758 202.344 1.34164 201.641
198 9.875 1.69064 91.2812 0.808287 204.871 1.42822 206.098
199 9.925 2.32424 94.9375 0.674017 207 1.47087 210.734
200 9.975 2.81233 99.4062 0.661155 209.109 1.50891 215.539
200 200
1 0.025 0 0 0 0 0 0
2 0.075 0 0 0 0 0 0
3 0.125 0 0 0 0 0 0
4 0.175 0 0 0 0 0 0
5 0.225 0 0 0 0 0 0
6 0.275 0 0 0 0 0 0
7 0.325 0 0 0 0 0 0
8 0.375 0 0 0 0 0 0
9 0.425 0 0 0 0 0 0
10 0.475 0 0 0 0 0 0
11 0.525 0 0 0 0 0 0
12 0.575 0 0 0 0 0 0
13 0.625 0 0 0 0 0 0
14 0.675 0 0 0 0 0 0
15 0.725 0 0 0 0 0 0
16 0.775 0 0 0 0 0 0
17 0.825 0 0 0 0 0 0
18 0.875 0 0 0 0 0 0
19 0.925 0 0 0 0 0 0
20 0.975 0 0 0 0 0 0
21 1.025 0 0 0 0 0 0
22 1.075 0 0 0 0 0 0
23 1.125 0 0 0 0 0 0
24 1.175 0 0 0 0 0 0
25 1.225 0 0 0 0 0 0
26 1.275 0 0 0 0 0 0
27 1.325 0 0 0 0 0 0
28 1.375 0 0 0 0 0 0
29 1.425 0 0 0 0 0 0
30 1.475 0 0 0 0 0 0
31 1.525 0 0 0 0 0 0
32 1.575 0 0 0 0 0 0
33 1.625 0 0 0 0 0 0
34 1.675 0 0 0 0 0 0
35 1.725 0 0 0 0 0 0
36 1.775 0 0 0 0 0 0
37 1.825 0 0 0.0353867 0.00390625 0 0
38 1.875 0 0 0 0.00390625 0 0
39 1.925 0 0 0.0636118 0.0117188 0 0
40 1.975 0 0 0.483455 0.0742188 0 0
41 2.025 0 0 0.862269 0.191406 0 0
42 2.075 0 0 1.99829 0.476562 0 0
43 2.125 0 0 4.20225 1.10547 0.026152 0.00390625
44 2.175 0 0 5.10751 1.90625 0.0499269 0.0117188
45 2.225 0 0 6.09474 2.90625 0.0715625 0.0234375
46 2.275 0 0 5.71593 3.88672 0.114086 0.0429688
47 2.325 0 0 5.69077 4.90625 0.349542 0.105469
48 2.375 0 0 4.32534 5.71484 0.816514 0.257812
49 2.425 0 0 3.78806 6.45312 1.24507 0.5
50 2.475 0 0 2.42437 6.94531 1.63869 0.832031
51 2.525 0 0 1.47893 7.25781 2.09307 1.27344
52 2.575 0 0 1.19097 7.51953 2.29755 1.77734
53 2.625 0 0 0.889457 7.72266 2.99922 2.46094
54 2.675 0 0 0.428259 7.82422 3.44928 3.27734
55 2.725 0 0 0.222216 7.87891 2.48097 3.88672
56 2.775 0 0 0.229587 7.9375 2.54573 4.53516
57 2.825 0 0 0.11815 7.96875 1.98289 5.05859
58 2.875 0 0 0.0712979 7.98828 1.38589 5.4375
59 2.925 0 0 0.0137763 7.99219 0.800586 5.66406
60 2.975 0 0 0 7.99219 0.50704 5.8125
61 3.025 0 0 0.0128805 7.99609 0.425888 5.94141
62 3.075 0 0 0.012465 8 0.149873 5.98828
63 3.125 0 0 0 8 0.0362789 6
64 3.175 0 0 0 8 0.0468604 6.01562
65 3.225 0 0 0 8 0.124901 6.05859
66 3.275 0 0 0 8 0.132127 6.10547
67 3.325 0 0 0 8 0.277731 6.20703
68 3.375 0.0415525 0.0078125 0 8 0.373241 6.34766
69 3.425 0.161393 0.0390625 0 8 0.634241 6.59375
70 3.475 0.509541 0.140625 0 8 1.18334 7.06641
71 3.525 1.90457 0.53125 0 8 1.24505 7.57812
72 3.575 2.55531 1.07031 0 8 1.78337 8.33203
73 3.625 3.818 1.89844 0 8 1.98615 9.19531
74 3.675 6.83387 3.42188 0 8 2.09861 10.1328
75 3.725 7.29975 5.09375 0 8 2.28947 11.1836
76 3.775 7.73871 6.91406 0.0248127 8.01172 2.70159 12.457
77 3.825 6.53485 8.49219 0.0563926 8.03906 2.30048 13.5703
78 3.875 5.79991 9.92969 0.0863449 8.08203 2.06847 14.5977
79 3.925 3.99403 10.9453 0.0994607 8.13281 1.70947 15.4688
80 3.975 2.2766 11.5391 0.208868 8.24219 1.47988 16.2422
81 4.025 0.964117 11.7969 0.502002 8.51172 1.07157 16.8164
82 4.075 0.484553 11.9297 0.816264 8.96094 0.789414 17.25
83 4.125 0.166898 11.9766 1.01826 9.53516 0.610762 17.5938
84 4.175 0.0271541 11.9844 1.60259 10.4609 0.481042 17.8711
85 4.225 0.0530304 12 2.37705 11.8672 0.396949 18.1055
86 4.275 0 12 2.88286 13.6133 0.420028 18.3594
87 4.325 0 12 3.48451 15.7734 0.580836 18.7188
88 4.375 0 12 3.76863 18.1641 0.604655 19.1016
89 4.425 0 12 4.42435 21.0352 0.886602 19.6758
90 4.475 0 12 3.91992 23.6367 0.949462 20.3047
91 4.525 0 12 3.38477 25.9336 0.876687 20.8984
92 4.575 0 12 2.7368 27.832 0.993044 21.5859
93 4.625 0 12 1.99468 29.2461 1.01034 22.3008
94 4.675 0 12 1.62867 30.4258 0.98884 23.0156
95 4.725 0.0212005 12.0078 0.934456 31.1172 1.02092 23.7695
96 4.775 0 12.0078 0.516943 31.5078 0.704418 24.3008
97 4.825 0 12.0078 0.329085 31.7617 0.694968 24.8359
98 4.875 0.0199159 12.0156 0.148786 31.8789 0.482016 25.2148
