Tensile strain (Strain 1) : Primary source		Strain 1				
						
Results Table 1						
	Tensile strain (Strain 1) gauge length	Strain 1 gauge length	Time at removal			
	(mm)	(mm)	(s)			
1	50.00	50.00	54.04			
2	50.00	50.00	54.04			
3	50.00	50.00	54.04			
						
Results Table 2						
						
						
1	Time	Displacement	Force	Tensile strain (Strain 1)	Tensile displacement	Strain 1
	(s)	(mm)	(kN)	(%)	(mm)	(%)
	7.0800	0.5860	4.5131	0.1116	0.0558	0.1116
	7.1000	0.5876	4.5254	0.1121	0.0560	0.1121
	7.1200	0.5894	4.5384	0.1125	0.0563	0.1125
	7.1400	0.5911	4.5535	0.1130	0.0565	0.1130
	7.1600	0.5928	4.5679	0.1135	0.0567	0.1135
	7.1800	0.5945	4.5815	0.1139	0.0570	0.1139
	7.2000	0.5960	4.5947	0.1144	0.0572	0.1144
	7.2200	0.5977	4.6073	0.1149	0.0574	0.1149
	7.2400	0.5992	4.6201	0.1153	0.0577	0.1153
	7.2600	0.6008	4.6327	0.1158	0.0579	0.1158
	7.2800	0.6026	4.6456	0.1163	0.0581	0.1163
	7.3000	0.6045	4.6610	0.1168	0.0584	0.1168
	7.3200	0.6061	4.6769	0.1174	0.0587	0.1174
	7.3400	0.6078	4.6905	0.1178	0.0589	0.1178
	7.3600	0.6094	4.7034	0.1183	0.0591	0.1183
	7.3800	0.6109	4.7158	0.1187	0.0594	0.1187
	7.4000	0.6126	4.7284	0.1192	0.0596	0.1192
	7.4200	0.6143	4.7418	0.1197	0.0598	0.1197
	7.4400	0.6160	4.7552	0.1202	0.0601	0.1202
	7.4600	0.6179	4.7698	0.1207	0.0604	0.1207
	7.4800	0.6195	4.7852	0.1213	0.0606	0.1213
	7.5000	0.6211	4.7985	0.1218	0.0609	0.1218
	7.5200	0.6228	4.8109	0.1222	0.0611	0.1222
	7.5400	0.6243	4.8239	0.1227	0.0614	0.1227
	7.5600	0.6260	4.8367	0.1233	0.0616	0.1233
	7.5800	0.6277	4.8502	0.1238	0.0619	0.1238
	7.6000	0.6293	4.8636	0.1243	0.0621	0.1243
	7.6200	0.6311	4.8766	0.1248	0.0624	0.1248
	7.6400	0.6329	4.8911	0.1253	0.0626	0.1253
	7.6600	0.6345	4.9055	0.1258	0.0629	0.1258
	7.6800	0.6362	4.9188	0.1263	0.0632	0.1263
	7.7000	0.6378	4.9321	0.1269	0.0634	0.1269
	7.7200	0.6395	4.9450	0.1274	0.0637	0.1274
	7.7400	0.6412	4.9581	0.1279	0.0639	0.1279
	7.7600	0.6427	4.9713	0.1284	0.0642	0.1284
	7.7800	0.6444	4.9836	0.1289	0.0645	0.1289
	7.8000	0.6463	4.9975	0.1295	0.0647	0.1295
	7.8200	0.6480	5.0130	0.1301	0.0650	0.1301
	7.8400	0.6496	5.0266	0.1306	0.0653	0.1306
	7.8600	0.6512	5.0391	0.1311	0.0656	0.1311
	7.8800	0.6528	5.0510	0.1316	0.0658	0.1316
	7.9000	0.6544	5.0628	0.1322	0.0661	0.1322
	7.9200	0.6560	5.0753	0.1327	0.0664	0.1327
	7.9400	0.6576	5.0877	0.1332	0.0666	0.1332
	7.9600	0.6595	5.1007	0.1337	0.0669	0.1337
	7.9800	0.6612	5.1159	0.1344	0.0672	0.1344
	8.0000	0.6627	5.1300	0.1349	0.0675	0.1349
	8.0200	0.6643	5.1418	0.1354	0.0677	0.1354
	8.0400	0.6659	5.1538	0.1360	0.0680	0.1360
	8.0600	0.6676	5.1662	0.1365	0.0683	0.1365
	8.0800	0.6693	5.1794	0.1371	0.0685	0.1371
	8.1000	0.6710	5.1933	0.1377	0.0688	0.1377
	8.1200	0.6728	5.2068	0.1382	0.0691	0.1382
	8.1400	0.6746	5.2211	0.1388	0.0694	0.1388
	8.1600	0.6761	5.2350	0.1394	0.0697	0.1394
	8.1800	0.6777	5.2465	0.1400	0.0700	0.1400
	8.2000	0.6793	5.2583	0.1405	0.0703	0.1405
	8.2200	0.6810	5.2710	0.1411	0.0705	0.1411
	8.2400	0.6827	5.2839	0.1417	0.0708	0.1417
	8.2600	0.6844	5.2976	0.1422	0.0711	0.1422
	8.2800	0.6859	5.3106	0.1428	0.0714	0.1428
	8.3000	0.6877	5.3228	0.1434	0.0717	0.1434
