X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Ni_wt%,Fe_wt% (balance),PREN,Strength_proxy_MPa,Cost_proxy_$_per_kg,Service_T_C (info),Mn_wt%,Si_wt%
Ni,0.0,28.0,0.0,10.5,1.0,60.5,62.65,594.047033678993,6.9815000000000005,20,,
Ni,0.0,28.0,0.0,10.5,1.5,60.0,62.65,598.5419311068248,7.051,20,,
Ni,0.0,28.0,0.0,10.5,2.0,59.5,62.65,602.3313049264549,7.1205,20,,
Ni,0.0,28.0,0.0,10.5,2.5,59.0,62.65,605.6698102806768,7.19,20,,
Ni,0.0,28.0,0.0,10.5,3.0,58.5,62.65,608.6880498303706,7.2595,20,,
Ni,0.0,28.0,0.0,10.5,3.5,58.0,62.65,611.4636075467324,7.329000000000001,20,,
Ni,0.0,28.0,0.0,10.5,4.0,57.5,62.65,614.047033678993,7.3985,20,,
Ni,0.0,28.0,0.0,10.5,4.5,57.0,62.65,616.4734405501858,7.468,20,,
Ni,0.0,28.0,0.0,10.5,5.0,56.5,62.65,618.7683932289888,7.5375000000000005,20,,
Ni,0.0,28.0,0.0,10.5,5.5,56.0,62.65,620.9511912772273,7.607,20,,
Ni,0.0,28.0,0.0,10.5,6.0,55.5,62.65,623.0368285346566,7.6765,20,,
Ni,0.0,28.0,0.0,10.5,6.5,55.0,62.65,625.0372288149208,7.746,20,,
Ni,0.0,28.0,0.0,10.5,7.0,54.5,62.65,626.9620599002848,7.8155,20,,
Ni,0.0,28.0,0.0,10.5,7.5,54.0,62.65,628.8192894295096,7.885,20,,
Ni,0.0,28.0,0.0,10.5,8.0,53.5,62.65,630.6155761739168,7.9545,20,,
Ni,0.0,28.0,0.0,10.5,8.5,53.0,62.65,632.356552627446,8.024000000000001,20,,
Ni,0.0,28.0,0.0,10.5,9.0,52.5,62.65,634.047033678993,8.0935,20,,
Ni,0.0,28.0,0.0,10.5,9.5,52.0,62.65,635.6911737086828,8.163,20,,
Ni,0.0,28.0,0.0,10.5,10.0,51.5,62.65,637.2925868823606,8.2325,20,,
Ni,0.0,28.5,0.0,9.5,0.0,62.0,59.849999999999994,556.7137095886865,6.4885,20,,
Ni,0.0,28.5,0.0,9.5,0.5,61.5,59.849999999999994,570.8558452124174,6.558,20,,
Ni,0.0,28.5,0.0,9.5,1.0,61.0,59.849999999999994,576.7137095886865,6.6275,20,,
Ni,0.0,28.5,0.0,9.5,1.5,60.5,59.849999999999994,581.2086070165183,6.697,20,,
Ni,0.0,28.5,0.0,9.5,2.0,60.0,59.849999999999994,584.9979808361484,6.766500000000001,20,,
Ni,0.0,28.5,0.0,9.5,2.5,59.5,59.849999999999994,588.3364861903702,6.836,20,,
Ni,0.0,28.5,0.0,9.5,3.0,59.0,59.849999999999994,591.354725740064,6.9055,20,,
Ni,0.0,28.5,0.0,9.5,3.5,58.5,59.849999999999994,594.1302834564259,6.9750000000000005,20,,
Ni,0.0,28.5,0.0,9.5,4.0,58.0,59.849999999999994,596.7137095886865,7.0445,20,,
Ni,0.0,28.5,0.0,9.5,4.5,57.5,59.849999999999994,599.1401164598793,7.114,20,,
Ni,0.0,28.5,0.0,9.5,5.0,57.0,59.849999999999994,601.4350691386823,7.1835,20,,
Ni,0.0,28.5,0.0,9.5,5.5,56.5,59.849999999999994,603.6178671869208,7.253,20,,
Ni,0.0,28.5,0.0,9.5,6.0,56.0,59.849999999999994,605.7035044443501,7.3225,20,,
Ni,0.0,28.5,0.0,9.5,6.5,55.5,59.849999999999994,607.7039047246143,7.392,20,,
Ni,0.0,28.5,0.0,9.5,7.0,55.0,59.849999999999994,609.6287358099783,7.4615,20,,
Ni,0.0,28.5,0.0,9.5,7.5,54.5,59.849999999999994,611.4859653392031,7.531000000000001,20,,
Ni,0.0,28.5,0.0,9.5,8.0,54.0,59.849999999999994,613.2822520836103,7.6005,20,,
Ni,0.0,28.5,0.0,9.5,8.5,53.5,59.849999999999994,615.0232285371395,7.67,20,,
Ni,0.0,28.5,0.0,9.5,9.0,53.0,59.849999999999994,616.7137095886865,7.7395,20,,
Ni,0.0,28.5,0.0,9.5,9.5,52.5,59.849999999999994,618.3578496183762,7.809,20,,
Ni,0.0,28.5,0.0,9.5,10.0,52.0,59.849999999999994,619.959262792054,7.878500000000001,20,,
Ni,0.0,28.5,0.0,10.0,0.0,61.5,61.5,566.3221886307535,6.689,20,,
Ni,0.0,28.5,0.0,10.0,0.5,61.0,61.5,580.4643242544845,6.7585,20,,
Ni,0.0,28.5,0.0,10.0,1.0,60.5,61.5,586.3221886307535,6.828,20,,
Ni,0.0,28.5,0.0,10.0,1.5,60.0,61.5,590.8170860585853,6.8975,20,,
Ni,0.0,28.5,0.0,10.0,2.0,59.5,61.5,594.6064598782154,6.9670000000000005,20,,
Ni,0.0,28.5,0.0,10.0,2.5,59.0,61.5,597.9449652324373,7.0365,20,,
Ni,0.0,28.5,0.0,10.0,3.0,58.5,61.5,600.9632047821311,7.106,20,,
Ni,0.0,28.5,0.0,10.0,3.5,58.0,61.5,603.738762498493,7.1755,20,,
Ni,0.0,28.5,0.0,10.0,4.0,57.5,61.5,606.3221886307535,7.245,20,,
Ni,0.0,28.5,0.0,10.0,4.5,57.0,61.5,608.7485955019464,7.3145,20,,
Ni,0.0,28.5,0.0,10.0,5.0,56.5,61.5,611.0435481807493,7.384,20,,
Ni,0.0,28.5,0.0,10.0,5.5,56.0,61.5,613.2263462289878,7.4535,20,,
Ni,0.0,28.5,0.0,10.0,6.0,55.5,61.5,615.3119834864171,7.523,20,,
Ni,0.0,28.5,0.0,10.0,6.5,55.0,61.5,617.3123837666814,7.5925,20,,
Ni,0.0,28.5,0.0,10.0,7.0,54.5,61.5,619.2372148520453,7.662,20,,
Ni,0.0,28.5,0.0,10.0,7.5,54.0,61.5,621.0944443812701,7.7315000000000005,20,,
Ni,0.0,28.5,0.0,10.0,8.0,53.5,61.5,622.8907311256773,7.801,20,,
Ni,0.0,28.5,0.0,10.0,8.5,53.0,61.5,624.6317075792066,7.8705,20,,
Ni,0.0,28.5,0.0,10.0,9.0,52.5,61.5,626.3221886307535,7.9399999999999995,20,,
Ni,0.0,28.5,0.0,10.0,9.5,52.0,61.5,627.9663286604433,8.0095,20,,
Ni,0.0,28.5,0.0,10.0,10.0,51.5,61.5,629.5677418341211,8.079,20,,
Ni,0.0,28.5,0.0,10.5,0.0,61.0,63.15,575.6933113150196,6.8895,20,,
Ni,0.0,28.5,0.0,10.5,0.5,60.5,63.15,589.8354469387506,6.959,20,,
Ni,0.0,28.5,0.0,10.5,1.0,60.0,63.15,595.6933113150196,7.0285,20,,
Ni,0.0,28.5,0.0,10.5,1.5,59.5,63.15,600.1882087428514,7.098,20,,
Ni,0.0,28.5,0.0,10.5,2.0,59.0,63.15,603.9775825624815,7.1675,20,,
Ni,0.0,28.5,0.0,10.5,2.5,58.5,63.15,607.3160879167034,7.237,20,,
Ni,0.0,28.5,0.0,10.5,3.0,58.0,63.15,610.3343274663972,7.3065,20,,
Ni,0.0,28.5,0.0,10.5,3.5,57.5,63.15,613.1098851827591,7.376,20,,
Ni,0.0,28.5,0.0,10.5,4.0,57.0,63.15,615.6933113150196,7.4455,20,,
Ni,0.0,28.5,0.0,10.5,4.5,56.5,63.15,618.1197181862125,7.515,20,,
Ni,0.0,28.5,0.0,10.5,5.0,56.0,63.15,620.4146708650154,7.5845,20,,
Ni,0.0,28.5,0.0,10.5,5.5,55.5,63.15,622.5974689132539,7.654,20,,
Ni,0.0,28.5,0.0,10.5,6.0,55.0,63.15,624.6831061706832,7.7235,20,,
Ni,0.0,28.5,0.0,10.5,6.5,54.5,63.15,626.6835064509474,7.793,20,,
Ni,0.0,28.5,0.0,10.5,7.0,54.0,63.15,628.6083375363114,7.8625,20,,
Ni,0.0,28.5,0.0,10.5,7.5,53.5,63.15,630.4655670655362,7.932,20,,
Ni,0.0,28.5,0.0,10.5,8.0,53.0,63.15,632.2618538099434,8.0015,20,,
Ni,0.0,28.5,0.0,10.5,8.5,52.5,63.15,634.0028302634727,8.071,20,,
Ni,0.0,28.5,0.0,10.5,9.0,52.0,63.15,635.6933113150196,8.1405,20,,
Ni,0.0,28.5,0.0,10.5,9.5,51.5,63.15,637.3374513447094,8.21,20,,
Ni,0.0,28.5,0.0,10.5,10.0,51.0,63.15,638.9388645183872,8.2795,20,,
Ni,0.0,29.0,0.0,9.5,0.0,61.5,60.349999999999994,558.3456084278462,6.535500000000001,20,,
Ni,0.0,29.0,0.0,9.5,0.5,61.0,60.349999999999994,572.4877440515771,6.605,20,,
Ni,0.0,29.0,0.0,9.5,1.0,60.5,60.349999999999994,578.3456084278462,6.674500000000001,20,,
Ni,0.0,29.0,0.0,9.5,1.5,60.0,60.349999999999994,582.840505855678,6.744000000000001,20,,
Ni,0.0,29.0,0.0,9.5,2.0,59.5,60.349999999999994,586.6298796753081,6.813500000000001,20,,
Ni,0.0,29.0,0.0,9.5,2.5,59.0,60.349999999999994,589.9683850295299,6.883000000000001,20,,
Ni,0.0,29.0,0.0,9.5,3.0,58.5,60.349999999999994,592.9866245792238,6.952500000000001,20,,
Ni,0.0,29.0,0.0,9.5,3.5,58.0,60.349999999999994,595.7621822955856,7.022000000000001,20,,
