X_element,C_wt%,Cr_wt%,N_wt%,Mo_wt%,Fe_wt% (balance),Ms_C,PREN,Strength_proxy_MPa,Service_T_C (info),Ms_ok_(>=200C),Fe_balance_ok_(>80%),Ni_wt%,Mn_wt%,Si_wt%
Mo,0.2,14.0,0.1,1.5,84.2,273.75,20.55,446.6517898620989,20,True,True,,,
Mo,0.2,14.0,0.1,2.0,83.7,270.0,22.200000000000003,469.38803277987967,20,True,True,,,
Mo,0.2,14.0,0.1,2.5,83.2,266.25,23.85,489.41906490521103,20,True,True,,,
Mo,0.2,14.0,0.15,0.0,85.65,285.0,16.4,312.47510764381093,20,True,True,,,
Mo,0.2,14.0,0.15,0.5,85.15,281.25,18.05,397.32792138619664,20,True,True,,,
Mo,0.2,14.0,0.15,1.0,84.65,277.5,19.7,432.47510764381093,20,True,True,,,
Mo,0.2,14.0,0.15,1.5,84.15,273.75,21.349999999999998,459.4444922108016,20,True,True,,,
Mo,0.2,14.0,0.15,2.0,83.65,270.0,23.0,482.18073512858234,20,True,True,,,
Mo,0.2,14.0,0.15,2.5,83.15,266.25,24.65,502.2117672539137,20,True,True,,,
Mo,0.2,15.0,0.0,0.0,84.8,272.9,15.0,247.35781599224907,20,True,True,,,
Mo,0.2,15.0,0.0,0.5,84.3,269.15,16.65,332.2106297346348,20,True,True,,,
Mo,0.2,15.0,0.0,1.0,83.8,265.4,18.3,367.3578159922491,20,True,True,,,
Mo,0.2,15.0,0.0,1.5,83.3,261.65,19.95,394.3272005592397,20,True,True,,,
Mo,0.2,15.0,0.0,2.0,82.8,257.9,21.6,417.0634434770205,20,True,True,,,
Mo,0.2,15.0,0.0,2.5,82.3,254.14999999999998,23.25,437.09447560235185,20,True,True,,,
Mo,0.2,15.0,0.05,0.0,84.75,272.9,15.8,287.6070395872453,20,True,True,,,
Mo,0.2,15.0,0.05,0.5,84.25,269.15,17.45,372.459853329631,20,True,True,,,
Mo,0.2,15.0,0.05,1.0,83.75,265.4,19.1,407.6070395872453,20,True,True,,,
Mo,0.2,15.0,0.05,1.5,83.25,261.65,20.75,434.57642415423595,20,True,True,,,
Mo,0.2,15.0,0.05,2.0,82.75,257.9,22.400000000000002,457.3126670720167,20,True,True,,,
Mo,0.2,15.0,0.05,2.5,82.25,254.14999999999998,24.05,477.3436991973481,20,True,True,,,
Mo,0.2,15.0,0.1,0.0,84.7,272.9,16.6,304.2788138752799,20,True,True,,,
Mo,0.2,15.0,0.1,0.5,84.2,269.15,18.25,389.13162761766563,20,True,True,,,
Mo,0.2,15.0,0.1,1.0,83.7,265.4,19.900000000000002,424.2788138752799,20,True,True,,,
Mo,0.2,15.0,0.1,1.5,83.2,261.65,21.55,451.24819844227056,20,True,True,,,
Mo,0.2,15.0,0.1,2.0,82.7,257.9,23.200000000000003,473.98444136005133,20,True,True,,,
